Date,Actual_Consumption,Predicted_Consumption
2021-05-19,202670,201461.34
2021-05-20,201102,202869.59
2021-05-21,212518,203884.87
2021-05-22,200582,196513.39
2021-05-23,191630,196683.64
2021-05-24,207600,209771.15
2021-05-25,203374,206436.34
2021-05-26,209336,204398.43
2021-05-27,209966,206695.8
2021-05-28,206448,208296.44
2021-05-29,193571,195181.2
2021-05-30,185370,188479.79
2021-05-31,199973,202466.73
2021-06-01,197303,201122.25
2021-06-02,194479,196632.93
2021-06-03,191123,196769.3
2021-06-04,194307,195255.27
2021-06-05,179279,182117.32
2021-06-06,175714,177349.98
2021-06-07,191099,192717.83
2021-06-08,192096,192067.04
2021-06-09,192753,192666.18
2021-06-10,193453,194221.42
2021-06-11,194388,194955.23
2021-06-12,183898,182936.74
2021-06-13,179593,177887.26
2021-06-14,194142,192739.29
2021-06-15,196442,192544.15
2021-06-16,196470,195200.97
2021-06-17,197490,194061.34
2021-06-18,200162,197433.34
2021-06-19,189004,184782.26
2021-06-20,185231,182236.86
2021-06-21,200485,200364.1
2021-06-22,200207,200875.15
2021-06-23,198550,201454.36
2021-06-24,186796,202433.52
2021-06-25,182592,195341.18
2021-06-26,178122,174837.93
2021-06-27,175343,171118.88
2021-06-28,189447,181928.27
2021-06-29,191902,191855.78
2021-06-30,192792,195559.35
2021-07-01,193948,193957.31
2021-07-02,196997,194393.44
2021-07-03,187113,183697.6
2021-07-04,185596,181378.5
2021-07-05,201706,196984.02
2021-07-06,200638,202343.07
2021-07-07,200329,202075.09
2021-07-08,201488,201556.96
2021-07-09,196668,200856.53
2021-07-10,188742,184872.63
2021-07-11,184832,183686.76
2021-07-12,194654,196896.26
2021-07-13,194099,193262.43
2021-07-14,195008,193805.22
2021-07-15,196702,194447.52
2021-07-16,193822,195812.88
2021-07-17,180357,183331.07
2021-07-18,177027,177017.63
2021-07-19,187859,191127.15
2021-07-20,189144,188386.92
2021-07-21,190150,189536.69
2021-07-22,190651,191798.04
2021-07-23,188322,192735.66
2021-07-24,180619,178808.62
2021-07-25,178500,174830.51
2021-07-26,193919,184491.18
2021-07-27,193040,194818.44
2021-07-28,194568,199084.04
2021-07-29,194090,195125.16
2021-07-30,193685,196396.67
2021-07-31,183715,183120.18
2021-08-01,179658,178361.7
2021-08-02,193164,191063.86
2021-08-03,193195,192254.72
2021-08-04,194029,194161.14
2021-08-05,195176,194446.06
2021-08-06,194758,195608.06
2021-08-07,183500,183623.4
2021-08-08,180538,178771.99
2021-08-09,197758,194771.73
2021-08-10,196328,198368.11
2021-08-11,200222,192668.29
2021-08-12,201253,201763.32
2021-08-13,201153,200896.61
2021-08-14,184409,195279.5
2021-08-15,181337,179622.78
2021-08-16,199704,199045.02
2021-08-17,203092,199747.78
2021-08-18,204860,202601.85
2021-08-19,204563,205952.33
2021-08-20,204891,204807.54
2021-08-21,194614,190936.49
2021-08-22,190119,186783.09
2021-08-23,199449,204987.39
2021-08-24,197545,199548.78
2021-08-25,207908,199261.79
2021-08-26,207404,206968.81
2021-08-27,207406,207030.58
2021-08-28,194260,194607.57
2021-08-29,182290,189969.63
2021-08-30,199465,202279.68
2021-08-31,200094,199634.1
2021-09-01,201552,202505.99
2021-09-02,207175,210608.8
2021-09-03,207870,207101.91
2021-09-04,197862,193452.69
2021-09-05,198891,191803.31
2021-09-06,206635,210830.32
2021-09-07,206493,208228.63
2021-09-08,204204,207873.37
2021-09-09,205141,206299.75
2021-09-10,202568,206216.56
2021-09-11,190316,188567.91
2021-09-12,188774,184833.09
2021-09-13,204785,204105.94
2021-09-14,212623,205662.08
2021-09-15,214229,216386.55
2021-09-16,215864,217346.44
2021-09-17,216412,218217.39
2021-09-18,203239,203198.57
2021-09-19,197876,194383.45
2021-09-20,214272,213873.95
2021-09-21,219368,217814.36
2021-09-22,217699,223638.48
2021-09-23,220468,222742.44
2021-09-24,220345,222241.76
2021-09-25,205453,207713.43
2021-09-26,199011,207585.81
2021-09-27,217877,216789.51
2021-09-28,215882,230573.7
2021-09-29,216429,220664.42
